时间,开盘,收盘,最高,最低,成交量,成交额,均价
2026-01-19 09:30:00,9.53,9.53,9.53,9.53,239309,228061668.0,9.53
2026-01-19 09:31:00,9.6,9.26,9.7,9.21,195072,184681875.0,9.502
2026-01-19 09:32:00,9.27,9.19,9.4,9.19,143308,133131622.0,9.449
2026-01-19 09:33:00,9.18,9.22,9.3,9.14,90127,83188347.0,9.42
2026-01-19 09:34:00,9.22,9.06,9.22,9.06,108125,98553572.0,9.377
2026-01-19 09:35:00,9.07,9.21,9.24,9.07,61262,56184957.0,9.362
2026-01-19 09:36:00,9.22,9.3,9.3,9.22,39914,36900113.0,9.357
2026-01-19 09:37:00,9.32,9.22,9.32,9.18,64964,60113272.0,9.35
2026-01-19 09:38:00,9.22,9.25,9.29,9.22,37132,34350648.0,9.346
2026-01-19 09:39:00,9.24,9.2,9.24,9.17,40431,37154169.0,9.34
2026-01-19 09:40:00,9.2,9.28,9.28,9.18,21032,19363178.0,9.337
2026-01-19 09:41:00,9.27,9.31,9.36,9.27,33300,31048065.0,9.337
2026-01-19 09:42:00,9.31,9.31,9.32,9.3,18391,17120246.0,9.336
2026-01-19 09:43:00,9.28,9.24,9.3,9.24,20978,19457257.0,9.335
2026-01-19 09:44:00,9.23,9.29,9.39,9.23,45154,42146350.0,9.335
2026-01-19 09:45:00,9.29,9.35,9.36,9.28,21953,20449055.0,9.335
2026-01-19 09:46:00,9.33,9.36,9.37,9.31,25401,23720358.0,9.335
2026-01-19 09:47:00,9.4,9.4,9.43,9.36,26108,24542582.0,9.336
2026-01-19 09:48:00,9.38,9.35,9.38,9.35,15194,14227536.0,9.336
2026-01-19 09:49:00,9.36,9.37,9.4,9.35,11717,10987788.0,9.337
2026-01-19 09:50:00,9.37,9.32,9.39,9.32,19496,18233015.0,9.337
2026-01-19 09:51:00,9.33,9.41,9.42,9.32,20816,19531120.0,9.338
2026-01-19 09:52:00,9.42,9.43,9.43,9.38,13975,13146542.0,9.339
2026-01-19 09:53:00,9.51,9.48,9.52,9.45,27891,26433164.0,9.341
2026-01-19 09:54:00,9.49,9.43,9.49,9.43,15761,14906175.0,9.343
2026-01-19 09:55:00,9.44,9.39,9.44,9.39,23418,22030749.0,9.344
2026-01-19 09:56:00,9.4,9.38,9.41,9.38,15533,14583318.0,9.344
2026-01-19 09:57:00,9.37,9.38,9.4,9.37,8694,8159335.0,9.345
2026-01-19 09:58:00,9.37,9.29,9.37,9.29,22963,21402971.0,9.344
2026-01-19 09:59:00,9.29,9.3,9.34,9.29,21599,20093349.0,9.344
2026-01-19 10:00:00,9.3,9.3,9.31,9.29,12457,11580438.0,9.343
2026-01-19 10:01:00,9.3,9.23,9.3,9.23,14297,13262593.0,9.343
2026-01-19 10:02:00,9.23,9.28,9.3,9.23,19269,17812740.0,9.341
2026-01-19 10:03:00,9.27,9.3,9.31,9.27,12752,11849684.0,9.341
2026-01-19 10:04:00,9.29,9.31,9.31,9.28,8221,7635378.0,9.341
2026-01-19 10:05:00,9.3,9.24,9.3,9.24,17419,16152679.0,9.34
2026-01-19 10:06:00,9.24,9.26,9.26,9.2,22483,20774930.0,9.338
2026-01-19 10:07:00,9.26,9.25,9.26,9.23,9266,8560988.0,9.338
2026-01-19 10:08:00,9.25,9.25,9.26,9.23,10385,9595007.0,9.337
2026-01-19 10:09:00,9.24,9.25,9.26,9.24,8416,7785109.0,9.337
2026-01-19 10:10:00,9.24,9.21,9.25,9.15,40041,36864016.0,9.334
2026-01-19 10:11:00,9.2,9.23,9.25,9.2,9364,8646232.0,9.333
2026-01-19 10:12:00,9.23,9.2,9.25,9.18,13722,12629087.0,9.332
2026-01-19 10:13:00,9.2,9.18,9.21,9.18,7290,6700197.0,9.331
2026-01-19 10:14:00,9.19,9.23,9.23,9.17,12921,11901522.0,9.33
2026-01-19 10:15:00,9.23,9.22,9.24,9.22,10204,9407905.0,9.33
2026-01-19 10:16:00,9.21,9.18,9.21,9.15,19650,18026975.0,9.328
2026-01-19 10:17:00,9.18,9.22,9.25,9.18,13753,12697096.0,9.327
2026-01-19 10:18:00,9.22,9.22,9.23,9.2,4921,4532939.0,9.327
2026-01-19 10:19:00,9.23,9.23,9.24,9.22,5846,5395396.0,9.326
2026-01-19 10:20:00,9.22,9.23,9.24,9.21,15847,14614782.0,9.325
2026-01-19 10:21:00,9.22,9.24,9.24,9.22,3676,3391573.0,9.325
2026-01-19 10:22:00,9.23,9.21,9.23,9.21,5725,5278697.0,9.325
2026-01-19 10:23:00,9.2,9.18,9.22,9.18,8050,7405461.0,9.324
2026-01-19 10:24:00,9.18,9.21,9.22,9.18,9989,9187300.0,9.324
2026-01-19 10:25:00,9.21,9.2,9.21,9.2,6493,5973945.0,9.323
2026-01-19 10:26:00,9.21,9.2,9.21,9.2,6490,5973617.0,9.323
2026-01-19 10:27:00,9.2,9.22,9.24,9.2,7867,7260551.0,9.322
2026-01-19 10:28:00,9.22,9.23,9.23,9.21,4544,4188761.0,9.322
2026-01-19 10:29:00,9.23,9.23,9.25,9.23,5687,5255468.0,9.322
2026-01-19 10:30:00,9.23,9.22,9.24,9.22,5723,5282272.0,9.322
2026-01-19 10:31:00,9.21,9.2,9.24,9.2,8588,7915430.0,9.321
2026-01-19 10:32:00,9.19,9.21,9.21,9.19,6110,5622598.0,9.321
2026-01-19 10:33:00,9.21,9.2,9.22,9.19,6923,6372074.0,9.32
2026-01-19 10:34:00,9.2,9.17,9.2,9.17,21595,19806801.0,9.318
2026-01-19 10:35:00,9.16,9.17,9.19,9.16,12703,11640190.0,9.317
2026-01-19 10:36:00,9.17,9.21,9.23,9.17,14568,13392743.0,9.316
2026-01-19 10:37:00,9.19,9.17,9.2,9.16,11778,10802109.0,9.316
2026-01-19 10:38:00,9.17,9.19,9.19,9.17,5696,5228176.0,9.315
2026-01-19 10:39:00,9.19,9.18,9.19,9.18,5427,4983574.0,9.315
2026-01-19 10:40:00,9.18,9.16,9.19,9.15,11899,10904853.0,9.314
2026-01-19 10:41:00,9.15,9.13,9.16,9.12,9858,9009731.0,9.313
2026-01-19 10:42:00,9.12,9.12,9.15,9.11,20513,18728863.0,9.311
2026-01-19 10:43:00,9.12,9.1,9.13,9.1,19344,17637607.0,9.309
2026-01-19 10:44:00,9.11,9.17,9.17,9.11,24532,22416921.0,9.307
2026-01-19 10:45:00,9.16,9.17,9.17,9.16,5773,5292629.0,9.307
2026-01-19 10:46:00,9.18,9.18,9.21,9.17,5065,4656668.0,9.306
2026-01-19 10:47:00,9.19,9.18,9.19,9.17,3429,3148606.0,9.306
2026-01-19 10:48:00,9.17,9.15,9.18,9.15,4473,4102479.0,9.306
2026-01-19 10:49:00,9.16,9.16,9.17,9.16,4227,3873903.0,9.305
2026-01-19 10:50:00,9.16,9.17,9.17,9.16,2685,2460009.0,9.305
2026-01-19 10:51:00,9.17,9.14,9.17,9.14,8907,8148684.0,9.305
2026-01-19 10:52:00,9.14,9.14,9.14,9.13,4957,4528569.0,9.304
2026-01-19 10:53:00,9.14,9.14,9.15,9.14,5181,4736400.0,9.304
2026-01-19 10:54:00,9.14,9.13,9.14,9.13,7683,7015831.0,9.303
2026-01-19 10:55:00,9.13,9.13,9.15,9.12,11812,10785638.0,9.302
2026-01-19 10:56:00,9.13,9.13,9.14,9.12,4574,4176327.0,9.302
2026-01-19 10:57:00,9.13,9.15,9.16,9.13,8701,7959290.0,9.301
2026-01-19 10:58:00,9.15,9.14,9.15,9.14,6451,5902395.0,9.301
2026-01-19 10:59:00,9.15,9.15,9.16,9.14,4266,3902427.0,9.3
2026-01-19 11:00:00,9.15,9.15,9.16,9.14,6796,6215072.0,9.3
2026-01-19 11:01:00,9.14,9.16,9.2,9.14,6526,5988563.0,9.299
2026-01-19 11:02:00,9.17,9.15,9.17,9.15,2646,2422006.0,9.299
2026-01-19 11:03:00,9.15,9.15,9.16,9.14,3477,3182069.0,9.299
2026-01-19 11:04:00,9.15,9.15,9.16,9.14,2291,2096526.0,9.299
2026-01-19 11:05:00,9.16,9.14,9.17,9.14,7198,6583251.0,9.298
2026-01-19 11:06:00,9.15,9.17,9.19,9.15,5926,5431021.0,9.298
2026-01-19 11:07:00,9.17,9.18,9.19,9.16,3327,3051889.0,9.298
2026-01-19 11:08:00,9.18,9.19,9.2,9.18,8268,7594808.0,9.297
2026-01-19 11:09:00,9.19,9.21,9.21,9.19,4087,3757943.0,9.297
2026-01-19 11:10:00,9.2,9.18,9.21,9.18,11111,10220786.0,9.297
2026-01-19 11:11:00,9.17,9.17,9.19,9.16,4040,3708521.0,9.296
2026-01-19 11:12:00,9.18,9.2,9.2,9.17,4764,4374276.0,9.296
2026-01-19 11:13:00,9.19,9.21,9.21,9.19,4570,4206549.0,9.296
2026-01-19 11:14:00,9.21,9.19,9.22,9.19,3824,3517370.0,9.296
2026-01-19 11:15:00,9.2,9.18,9.2,9.18,4804,4413744.0,9.295
2026-01-19 11:16:00,9.19,9.17,9.19,9.16,3958,3632318.0,9.295
2026-01-19 11:17:00,9.16,9.17,9.17,9.16,3225,2954933.0,9.295
2026-01-19 11:18:00,9.17,9.17,9.18,9.16,2404,2203390.0,9.295
2026-01-19 11:19:00,9.17,9.16,9.17,9.15,3966,3633417.0,9.295
2026-01-19 11:20:00,9.16,9.17,9.17,9.16,3490,3197285.0,9.294
2026-01-19 11:21:00,9.17,9.15,9.17,9.15,4232,3875288.0,9.294
2026-01-19 11:22:00,9.16,9.13,9.16,9.13,10817,9889094.0,9.293
2026-01-19 11:23:00,9.13,9.13,9.14,9.12,6686,6105181.0,9.293
2026-01-19 11:24:00,9.12,9.11,9.14,9.11,31154,28394313.0,9.29
2026-01-19 11:25:00,9.12,9.12,9.15,9.11,12134,11065144.0,9.289
2026-01-19 11:26:00,9.12,9.13,9.15,9.12,9413,8593346.0,9.289
2026-01-19 11:27:00,9.12,9.14,9.14,9.12,4638,4231926.0,9.288
2026-01-19 11:28:00,9.13,9.11,9.14,9.11,9061,8266503.0,9.288
2026-01-19 11:29:00,9.11,9.13,9.13,9.11,11580,10562758.0,9.287
2026-01-19 11:30:00,9.12,9.12,9.13,9.11,8349,7609049.0,9.286
2026-01-19 13:01:00,9.12,9.14,9.16,9.12,12811,11697751.0,9.285
2026-01-19 13:02:00,9.14,9.15,9.15,9.13,5595,5114592.0,9.285
2026-01-19 13:03:00,9.14,9.14,9.15,9.14,4512,4127258.0,9.285
2026-01-19 13:04:00,9.15,9.16,9.16,9.14,5013,4585123.0,9.285
2026-01-19 13:05:00,9.15,9.14,9.16,9.14,4527,4142033.0,9.284
2026-01-19 13:06:00,9.14,9.13,9.15,9.13,5167,4721473.0,9.284
2026-01-19 13:07:00,9.13,9.1,9.13,9.1,21536,19617111.0,9.282
2026-01-19 13:08:00,9.11,9.12,9.12,9.1,7434,6769422.0,9.282
2026-01-19 13:09:00,9.13,9.11,9.13,9.11,2590,2361057.0,9.282
2026-01-19 13:10:00,9.11,9.12,9.13,9.1,5977,5447582.0,9.281
2026-01-19 13:11:00,9.13,9.13,9.13,9.12,3871,3533371.0,9.281
2026-01-19 13:12:00,9.13,9.12,9.13,9.12,3673,3352969.0,9.281
2026-01-19 13:13:00,9.12,9.13,9.13,9.11,3436,3133392.0,9.28
2026-01-19 13:14:00,9.12,9.12,9.14,9.12,5190,4737235.0,9.28
2026-01-19 13:15:00,9.12,9.13,9.13,9.12,3241,2957144.0,9.28
2026-01-19 13:16:00,9.12,9.14,9.15,9.12,6303,5758626.0,9.28
2026-01-19 13:17:00,9.14,9.14,9.15,9.13,5174,4727564.0,9.279
2026-01-19 13:18:00,9.13,9.13,9.14,9.12,5245,4787414.0,9.279
2026-01-19 13:19:00,9.13,9.11,9.13,9.09,24133,21969711.0,9.277
2026-01-19 13:20:00,9.12,9.12,9.12,9.11,7712,7026947.0,9.277
2026-01-19 13:21:00,9.11,9.15,9.15,9.11,7244,6609299.0,9.276
2026-01-19 13:22:00,9.15,9.15,9.16,9.15,7072,6473048.0,9.276
2026-01-19 13:23:00,9.14,9.13,9.14,9.12,4927,4498721.0,9.275
2026-01-19 13:24:00,9.13,9.13,9.13,9.12,2814,2568900.0,9.275
