时间,开盘,收盘,最高,最低,成交量,成交额,均价
2026-01-16 09:30:00,0.0,4.0,4.0,4.0,468630,187451908.0,4.0
2026-01-16 09:31:00,0.0,4.37,4.39,4.15,72506,30779137.0,4.033
2026-01-16 09:32:00,0.0,4.24,4.35,4.18,122294,52035675.0,4.074
2026-01-16 09:33:00,0.0,4.23,4.27,4.22,56920,24165911.0,4.087
2026-01-16 09:34:00,0.0,4.25,4.28,4.23,76776,32653458.0,4.103
2026-01-16 09:35:00,0.0,4.25,4.25,4.24,29825,12660795.0,4.108
2026-01-16 09:36:00,0.0,4.21,4.25,4.21,28812,12185557.0,4.113
2026-01-16 09:37:00,0.0,4.13,4.2,4.13,48810,20359174.0,4.116
2026-01-16 09:38:00,0.0,4.15,4.16,4.14,56085,23260908.0,4.118
2026-01-16 09:39:00,0.0,4.19,4.19,4.14,43967,18266679.0,4.119
2026-01-16 09:40:00,0.0,4.22,4.22,4.19,22826,9590636.0,4.121
2026-01-16 09:41:00,0.0,4.24,4.24,4.21,18585,7845125.0,4.123
2026-01-16 09:42:00,0.0,4.22,4.24,4.22,12524,5294933.0,4.124
2026-01-16 09:43:00,0.0,4.28,4.28,4.23,29509,12534872.0,4.127
2026-01-16 09:44:00,0.0,4.26,4.29,4.24,19495,8300841.0,4.13
2026-01-16 09:45:00,0.0,4.27,4.27,4.26,10495,4468970.0,4.131
2026-01-16 09:46:00,0.0,4.26,4.27,4.25,16273,6928333.0,4.133
2026-01-16 09:47:00,0.0,4.24,4.25,4.24,13745,5833580.0,4.134
2026-01-16 09:48:00,0.0,4.2,4.24,4.2,20405,8615723.0,4.136
2026-01-16 09:49:00,0.0,4.22,4.22,4.21,7704,3245898.0,4.136
2026-01-16 09:50:00,0.0,4.21,4.22,4.21,11794,4969069.0,4.137
2026-01-16 09:51:00,0.0,4.22,4.22,4.21,9037,3810168.0,4.137
2026-01-16 09:52:00,0.0,4.22,4.23,4.22,7603,3213197.0,4.138
2026-01-16 09:53:00,0.0,4.25,4.25,4.23,6961,2947657.0,4.139
2026-01-16 09:54:00,0.0,4.26,4.26,4.24,12430,5286759.0,4.14
2026-01-16 09:55:00,0.0,4.26,4.27,4.26,15140,6460746.0,4.141
2026-01-16 09:56:00,0.0,4.25,4.27,4.25,9561,4073452.0,4.142
2026-01-16 09:57:00,0.0,4.24,4.26,4.24,9991,4243903.0,4.143
2026-01-16 09:58:00,0.0,4.23,4.24,4.23,11685,4944249.0,4.144
2026-01-16 09:59:00,0.0,4.23,4.23,4.22,8612,3637511.0,4.144
2026-01-16 10:00:00,0.0,4.23,4.23,4.22,7271,3071488.0,4.145
2026-01-16 10:01:00,0.0,4.21,4.23,4.21,7066,2981839.0,4.145
2026-01-16 10:02:00,0.0,4.21,4.22,4.21,9467,3991346.0,4.146
2026-01-16 10:03:00,0.0,4.21,4.21,4.2,25584,10760490.0,4.147
2026-01-16 10:04:00,0.0,4.19,4.21,4.19,12405,5210523.0,4.147
2026-01-16 10:05:00,0.0,4.18,4.2,4.17,14002,5854012.0,4.148
2026-01-16 10:06:00,0.0,4.17,4.17,4.16,18807,7826886.0,4.148
2026-01-16 10:07:00,0.0,4.19,4.19,4.16,7348,3065879.0,4.148
2026-01-16 10:08:00,0.0,4.18,4.18,4.17,8309,3470956.0,4.148
2026-01-16 10:09:00,0.0,4.17,4.18,4.17,6051,2524672.0,4.148
2026-01-16 10:10:00,0.0,4.15,4.18,4.15,15326,6381510.0,4.149
2026-01-16 10:11:00,0.0,4.15,4.17,4.15,8797,3656248.0,4.149
2026-01-16 10:12:00,0.0,4.15,4.16,4.15,10294,4274659.0,4.149
2026-01-16 10:13:00,0.0,4.16,4.16,4.15,12559,5215791.0,4.149
2026-01-16 10:14:00,0.0,4.17,4.17,4.15,10821,4499963.0,4.149
2026-01-16 10:15:00,0.0,4.18,4.18,4.16,4496,1874704.0,4.149
2026-01-16 10:16:00,0.0,4.16,4.18,4.16,6217,2592700.0,4.149
2026-01-16 10:17:00,0.0,4.17,4.18,4.16,3396,1415622.0,4.149
2026-01-16 10:18:00,0.0,4.18,4.18,4.17,4728,1973003.0,4.149
2026-01-16 10:19:00,0.0,4.17,4.18,4.17,6427,2681928.0,4.149
2026-01-16 10:20:00,0.0,4.17,4.18,4.17,6727,2805697.0,4.149
2026-01-16 10:21:00,0.0,4.17,4.18,4.17,6009,2503561.0,4.149
2026-01-16 10:22:00,0.0,4.18,4.18,4.17,4084,1705830.0,4.149
2026-01-16 10:23:00,0.0,4.18,4.18,4.17,3837,1601409.0,4.149
2026-01-16 10:24:00,0.0,4.16,4.18,4.16,10352,4316832.0,4.15
2026-01-16 10:25:00,0.0,4.15,4.17,4.15,12918,5371981.0,4.15
2026-01-16 10:26:00,0.0,4.16,4.16,4.15,6515,2705665.0,4.15
2026-01-16 10:27:00,0.0,4.15,4.16,4.14,7645,3171636.0,4.15
2026-01-16 10:28:00,0.0,4.15,4.15,4.14,3772,1563482.0,4.15
2026-01-16 10:29:00,0.0,4.14,4.15,4.14,6952,2879015.0,4.15
2026-01-16 10:30:00,0.0,4.13,4.14,4.13,4599,1901397.0,4.15
2026-01-16 10:31:00,0.0,4.14,4.14,4.13,5571,2303050.0,4.15
2026-01-16 10:32:00,0.0,4.14,4.14,4.13,5128,2120821.0,4.149
2026-01-16 10:33:00,0.0,4.14,4.14,4.13,6566,2714466.0,4.149
2026-01-16 10:34:00,0.0,4.13,4.14,4.13,4707,1945568.0,4.149
2026-01-16 10:35:00,0.0,4.12,4.14,4.12,9522,3931836.0,4.149
2026-01-16 10:36:00,0.0,4.11,4.13,4.11,7061,2909061.0,4.149
2026-01-16 10:37:00,0.0,4.11,4.12,4.11,5884,2420321.0,4.149
2026-01-16 10:38:00,0.0,4.11,4.12,4.11,12549,5160360.0,4.149
2026-01-16 10:39:00,0.0,4.1,4.11,4.1,12769,5239997.0,4.148
2026-01-16 10:40:00,0.0,4.09,4.11,4.09,11874,4867478.0,4.148
2026-01-16 10:41:00,0.0,4.08,4.1,4.08,10066,4116313.0,4.148
2026-01-16 10:42:00,0.0,4.08,4.09,4.07,9471,3862071.0,4.147
2026-01-16 10:43:00,0.0,4.09,4.09,4.07,11834,4824390.0,4.147
2026-01-16 10:44:00,0.0,4.09,4.09,4.08,5047,2061104.0,4.147
2026-01-16 10:45:00,0.0,4.09,4.09,4.08,2507,1023788.0,4.146
2026-01-16 10:46:00,0.0,4.1,4.1,4.08,7131,2916462.0,4.146
2026-01-16 10:47:00,0.0,4.1,4.1,4.09,4180,1711183.0,4.146
2026-01-16 10:48:00,0.0,4.09,4.1,4.09,2879,1179565.0,4.146
2026-01-16 10:49:00,0.0,4.08,4.1,4.08,5570,2278475.0,4.146
2026-01-16 10:50:00,0.0,4.09,4.1,4.08,2583,1055832.0,4.146
2026-01-16 10:51:00,0.0,4.09,4.09,4.08,4928,2012321.0,4.146
2026-01-16 10:52:00,0.0,4.09,4.09,4.08,2960,1208418.0,4.145
2026-01-16 10:53:00,0.0,4.08,4.09,4.08,5203,2123049.0,4.145
2026-01-16 10:54:00,0.0,4.07,4.08,4.07,2547,1037583.0,4.145
