时间,开盘,收盘,最高,最低,成交量,成交额,均价
2026-01-19 09:30:00,280.6,280.6,280.6,280.6,8234,231046040.0,280.6
2026-01-19 09:31:00,280.62,280.5,282.9,280.11,15726,441487024.0,280.693
2026-01-19 09:32:00,280.86,281.96,284.78,280.86,11744,332270800.0,281.426
2026-01-19 09:33:00,281.49,279.3,282.36,279.01,10614,298415056.0,281.363
2026-01-19 09:34:00,279.0,279.9,280.47,278.88,7365,205981137.0,281.133
2026-01-19 09:35:00,279.99,284.3,284.46,279.49,6502,183281419.0,281.213
2026-01-19 09:36:00,283.63,283.72,284.59,283.19,11215,318500240.0,281.648
2026-01-19 09:37:00,283.71,286.0,286.2,283.71,6760,192671533.0,281.94
2026-01-19 09:38:00,286.46,283.58,286.58,283.56,13424,382831616.0,282.416
2026-01-19 09:39:00,284.0,286.4,286.4,283.66,7138,203081768.0,282.568
2026-01-19 09:40:00,286.76,287.17,287.5,285.87,10003,286995904.0,282.967
2026-01-19 09:41:00,286.86,288.0,288.05,285.87,10917,313505504.0,283.351
2026-01-19 09:42:00,288.0,287.0,288.0,286.01,5234,150268585.0,283.508
2026-01-19 09:43:00,286.85,287.02,287.2,286.74,3847,110390910.0,283.611
2026-01-19 09:44:00,286.85,285.94,286.85,285.59,5088,145500207.0,283.7
2026-01-19 09:45:00,285.64,287.68,287.68,285.0,5036,144006148.0,283.782
2026-01-19 09:46:00,287.5,286.3,287.5,286.0,4690,134452966.0,283.877
2026-01-19 09:47:00,286.21,284.6,286.21,284.4,5425,154744335.0,283.926
2026-01-19 09:48:00,284.51,283.0,284.6,282.87,5128,145428814.0,283.915
2026-01-19 09:49:00,282.87,284.1,284.61,282.87,4970,141133161.0,283.918
2026-01-19 09:50:00,284.1,286.68,287.0,284.0,4546,129899433.0,283.969
2026-01-19 09:51:00,285.95,285.26,285.95,284.36,3522,100443155.0,283.995
2026-01-19 09:52:00,285.14,286.23,286.25,285.14,1918,54799967.0,284.014
2026-01-19 09:53:00,286.6,286.69,286.69,286.27,2585,74066561.0,284.051
2026-01-19 09:54:00,286.8,287.76,287.81,286.8,3935,113126974.0,284.129
2026-01-19 09:55:00,287.76,287.55,288.0,287.55,5317,153045271.0,284.238
2026-01-19 09:56:00,287.86,289.23,289.3,287.55,4677,134917325.0,284.345
2026-01-19 09:57:00,289.29,289.99,290.0,289.29,7289,211155850.0,284.547
2026-01-19 09:58:00,290.0,290.77,290.77,289.98,4262,123669556.0,284.669
2026-01-19 09:59:00,290.77,289.87,291.4,289.87,6597,191808919.0,284.866
2026-01-19 10:00:00,289.46,290.46,290.88,289.16,2433,70539113.0,284.926
2026-01-19 10:01:00,290.52,289.45,290.52,288.91,4700,136143622.0,285.032
2026-01-19 10:02:00,289.85,291.72,291.91,289.85,2626,76420386.0,285.106
2026-01-19 10:03:00,291.78,288.94,292.0,288.91,4943,143764770.0,285.235
2026-01-19 10:04:00,289.14,288.9,290.18,288.9,3426,99119970.0,285.298
2026-01-19 10:05:00,288.9,289.98,290.0,288.8,2421,70026074.0,285.341
2026-01-19 10:06:00,289.43,288.76,289.48,288.58,2293,66280519.0,285.379
2026-01-19 10:07:00,288.76,289.5,289.89,288.76,3061,88529615.0,285.43
2026-01-19 10:08:00,289.24,289.0,289.24,288.01,1951,56276038.0,285.455
2026-01-19 10:09:00,289.0,288.98,289.81,288.83,2355,68118634.0,285.493
2026-01-19 10:10:00,289.57,288.0,289.81,288.0,2651,76514370.0,285.528
2026-01-19 10:11:00,287.82,288.62,288.65,287.5,2939,84603749.0,285.557
2026-01-19 10:12:00,288.65,290.57,290.59,288.65,3835,111177706.0,285.626
2026-01-19 10:13:00,290.01,288.99,290.3,288.82,2237,64797411.0,285.662
2026-01-19 10:14:00,289.36,289.29,289.4,288.85,2536,73278382.0,285.696
2026-01-19 10:15:00,288.88,286.24,289.02,286.24,2341,67342486.0,285.714
2026-01-19 10:16:00,286.24,287.18,287.8,286.24,2221,63742781.0,285.726
2026-01-19 10:17:00,287.67,287.7,288.5,287.55,1837,52886907.0,285.741
2026-01-19 10:18:00,287.64,287.18,287.64,286.68,2387,68526854.0,285.754
2026-01-19 10:19:00,287.62,286.0,287.62,286.0,2095,60032267.0,285.76
2026-01-19 10:20:00,286.0,285.49,286.0,285.49,2222,63486564.0,285.76
2026-01-19 10:21:00,285.49,285.44,285.49,284.5,3034,86438292.0,285.75
2026-01-19 10:22:00,285.49,285.42,285.51,285.42,1779,50779033.0,285.748
2026-01-19 10:23:00,285.44,286.1,286.1,285.03,1791,51111731.0,285.746
2026-01-19 10:24:00,286.08,284.45,286.08,284.45,1593,45414556.0,285.742
2026-01-19 10:25:00,284.4,285.35,285.46,284.15,1669,47530988.0,285.736
2026-01-19 10:26:00,285.21,285.29,285.35,284.79,1317,37528616.0,285.732
2026-01-19 10:27:00,285.3,284.87,285.41,284.87,1082,30847562.0,285.73
2026-01-19 10:28:00,284.89,285.71,285.84,284.89,1548,44152208.0,285.727
2026-01-19 10:29:00,285.67,285.49,285.82,285.1,1099,31378897.0,285.727
2026-01-19 10:30:00,285.49,286.67,286.7,285.49,1174,33566046.0,285.728
2026-01-19 10:31:00,286.69,286.78,286.78,285.52,1227,35112173.0,285.729
2026-01-19 10:32:00,286.66,287.31,287.63,286.66,1565,44982551.0,285.739
2026-01-19 10:33:00,287.26,286.25,287.3,286.12,1709,48969950.0,285.744
2026-01-19 10:34:00,286.22,285.2,286.22,285.2,795,22716052.0,285.744
2026-01-19 10:35:00,285.16,285.19,285.34,285.01,1026,29255845.0,285.741
2026-01-19 10:36:00,285.08,284.42,285.15,283.99,2945,83804913.0,285.729
2026-01-19 10:37:00,284.42,284.5,285.15,284.06,1083,30835098.0,285.726
2026-01-19 10:38:00,284.5,284.22,285.0,284.22,1011,28768896.0,285.722
2026-01-19 10:39:00,284.41,283.7,284.41,283.7,1247,35424080.0,285.714
2026-01-19 10:40:00,283.59,283.15,283.59,283.0,2836,80308156.0,285.69
2026-01-19 10:41:00,283.5,283.49,283.87,283.38,1703,48286332.0,285.677
2026-01-19 10:42:00,283.66,283.39,284.12,283.39,1608,45617418.0,285.667
2026-01-19 10:43:00,283.54,282.95,283.54,282.83,2705,76549136.0,285.642
2026-01-19 10:44:00,283.0,283.9,283.9,283.0,2504,70974858.0,285.624
2026-01-19 10:45:00,284.0,283.87,284.12,283.82,888,25215416.0,285.619
