时间,开盘,收盘,最高,最低,成交量,成交额,均价
2026-01-19 09:30:00,97.0,97.0,97.0,97.0,2559,24822300.0,97.0
2026-01-19 09:31:00,98.0,96.5,98.02,95.89,5618,54402789.0,96.888
2026-01-19 09:32:00,96.5,93.01,96.79,93.01,2624,25123558.0,96.61
2026-01-19 09:33:00,93.01,87.71,93.01,86.27,3451,31367527.0,95.226
2026-01-19 09:34:00,86.07,89.98,91.0,84.81,3217,28215476.0,93.842
2026-01-19 09:35:00,90.79,91.9,91.9,90.0,2163,19540432.0,93.456
2026-01-19 09:36:00,92.1,92.15,92.72,91.9,2789,25696864.0,93.292
2026-01-19 09:37:00,92.3,90.11,92.38,90.08,1707,15603967.0,93.159
2026-01-19 09:38:00,90.0,89.03,90.67,87.99,1933,17301563.0,92.888
2026-01-19 09:39:00,89.03,88.88,89.08,88.15,1373,12167121.0,92.674
2026-01-19 09:40:00,88.61,90.42,90.64,88.61,1143,10268124.0,92.56
2026-01-19 09:41:00,90.64,90.23,91.0,90.09,1710,15484069.0,92.447
2026-01-19 09:42:00,90.4,89.0,90.62,89.0,945,8499866.0,92.371
2026-01-19 09:43:00,89.01,88.12,89.01,88.12,664,5891088.0,92.295
2026-01-19 09:44:00,88.0,86.86,88.36,86.86,1487,13060826.0,92.096
2026-01-19 09:45:00,86.99,88.2,88.2,86.99,1767,15481764.0,91.871
2026-01-19 09:46:00,88.36,89.55,89.55,88.36,620,5501461.0,91.817
2026-01-19 09:47:00,89.57,89.53,89.69,89.4,1036,9277165.0,91.753
2026-01-19 09:48:00,89.59,88.35,89.59,88.34,596,5302134.0,91.709
2026-01-19 09:49:00,88.35,88.52,88.67,88.35,733,6491120.0,91.648
2026-01-19 09:50:00,88.93,88.43,89.5,88.43,581,5174096.0,91.609
2026-01-19 09:51:00,88.39,87.91,88.39,87.64,504,4432655.0,91.562
2026-01-19 09:52:00,87.91,87.72,88.23,87.65,787,6917740.0,91.49
2026-01-19 09:53:00,87.67,87.46,87.73,87.2,1033,9026090.0,91.386
2026-01-19 09:54:00,87.2,87.63,87.99,87.2,767,6720019.0,91.317
2026-01-19 09:55:00,87.66,87.81,88.31,87.66,458,4034166.0,91.282
2026-01-19 09:56:00,87.97,88.8,88.88,87.97,1367,12052993.0,91.185
2026-01-19 09:57:00,88.8,88.3,88.8,88.09,276,2437998.0,91.167
2026-01-19 09:58:00,88.3,88.03,88.44,88.0,238,2098874.0,91.151
2026-01-19 09:59:00,88.0,88.19,88.53,88.0,474,4183034.0,91.12
2026-01-19 10:00:00,88.09,87.66,88.1,87.61,353,3103862.0,91.095
2026-01-19 10:01:00,87.74,87.7,88.0,87.66,728,6388766.0,91.042
2026-01-19 10:02:00,87.71,88.12,88.2,87.7,629,5535754.0,91.001
2026-01-19 10:03:00,88.03,88.2,88.3,88.03,329,2901407.0,90.981
2026-01-19 10:04:00,88.18,87.84,88.21,87.84,374,3296694.0,90.958
2026-01-19 10:05:00,87.8,87.23,87.84,87.23,292,2556432.0,90.937
2026-01-19 10:06:00,87.23,86.52,87.23,86.52,530,4609273.0,90.893
2026-01-19 10:07:00,86.6,86.75,86.92,86.52,949,8229590.0,90.812
2026-01-19 10:08:00,86.53,85.8,86.69,85.8,1169,10085898.0,90.706
2026-01-19 10:09:00,86.0,85.5,86.0,85.49,1729,14798721.0,90.535
2026-01-19 10:10:00,85.4,85.25,85.4,85.0,1567,13342020.0,90.376
2026-01-19 10:11:00,85.4,86.36,86.51,85.4,977,8394635.0,90.296
2026-01-19 10:12:00,86.36,86.24,86.5,86.21,447,3858805.0,90.264
2026-01-19 10:13:00,86.19,85.97,86.19,85.92,393,3381208.0,90.233
2026-01-19 10:14:00,85.94,85.5,85.94,85.48,238,2036655.0,90.213
2026-01-19 10:15:00,85.43,85.33,85.49,85.33,294,2511286.0,90.188
2026-01-19 10:16:00,85.2,84.62,85.25,84.6,680,5772169.0,90.124
2026-01-19 10:17:00,84.68,85.07,85.46,84.68,821,6985743.0,90.052
2026-01-19 10:18:00,85.29,85.0,85.29,85.0,414,3524189.0,90.017
2026-01-19 10:19:00,84.91,84.61,84.91,84.61,434,3679729.0,89.978
2026-01-19 10:20:00,84.66,84.5,84.77,84.5,556,4703189.0,89.927
2026-01-19 10:21:00,84.47,84.17,84.5,84.03,962,8099753.0,89.834
2026-01-19 10:22:00,84.17,85.21,85.25,84.17,981,8306588.0,89.75
2026-01-19 10:23:00,85.26,85.24,85.4,85.2,489,4169367.0,89.714
2026-01-19 10:24:00,85.26,84.86,85.26,84.6,412,3496721.0,89.682
2026-01-19 10:25:00,84.81,84.61,84.81,84.61,406,3436706.0,89.649
2026-01-19 10:26:00,84.62,84.59,84.63,84.57,248,2098111.0,89.629
2026-01-19 10:27:00,84.61,84.43,84.61,84.43,286,2416976.0,89.605
2026-01-19 10:28:00,84.42,84.4,84.43,84.39,269,2270550.0,89.583
2026-01-19 10:29:00,84.4,84.67,84.68,84.38,378,3189700.0,89.552
2026-01-19 10:30:00,84.68,84.34,84.68,84.32,321,2710422.0,89.526
2026-01-19 10:31:00,84.31,83.72,84.31,83.5,1078,9046397.0,89.432
2026-01-19 10:32:00,84.0,84.6,84.6,83.74,578,4859895.0,89.384
2026-01-19 10:33:00,84.46,83.62,84.6,83.62,173,1453015.0,89.37
2026-01-19 10:34:00,83.65,83.51,83.68,83.5,361,3016734.0,89.338
2026-01-19 10:35:00,83.5,83.35,83.51,83.34,254,2119622.0,89.315
2026-01-19 10:36:00,83.37,83.34,83.37,83.2,367,3056905.0,89.282
2026-01-19 10:37:00,83.36,83.19,83.36,83.17,555,4619054.0,89.231
2026-01-19 10:38:00,83.17,83.61,83.61,83.09,710,5909129.0,89.169
2026-01-19 10:39:00,83.63,84.14,84.15,83.63,373,3127953.0,89.139
2026-01-19 10:40:00,84.15,83.78,84.16,83.78,176,1477483.0,89.126
2026-01-19 10:41:00,83.65,83.2,83.78,83.19,212,1770469.0,89.109
2026-01-19 10:42:00,83.22,83.1,83.24,83.1,219,1821217.0,89.089
2026-01-19 10:43:00,83.11,83.0,83.13,82.89,445,3695577.0,89.05
2026-01-19 10:44:00,83.02,83.42,83.6,83.02,495,4118532.0,89.009
2026-01-19 10:45:00,83.48,83.01,83.48,83.01,127,1057397.0,88.998
2026-01-19 10:46:00,83.0,83.02,83.03,83.0,336,2789134.0,88.969
2026-01-19 10:47:00,83.01,82.9,83.02,82.9,185,1535009.0,88.953
2026-01-19 10:48:00,82.89,82.78,82.89,82.78,340,2817386.0,88.924
2026-01-19 10:49:00,82.76,82.68,82.76,82.38,581,4796282.0,88.872
2026-01-19 10:50:00,82.6,83.28,83.42,82.58,408,3386722.0,88.838
2026-01-19 10:51:00,83.26,82.66,83.26,82.66,136,1128572.0,88.827
2026-01-19 10:52:00,82.67,82.8,82.8,82.61,422,3489510.0,88.791
2026-01-19 10:53:00,82.79,82.78,82.88,82.66,392,3243556.0,88.758
2026-01-19 10:54:00,82.97,82.77,82.97,82.77,128,1059843.0,88.747
