时间,开盘,收盘,最高,最低,成交量,成交额,均价
2026-01-19 09:30:00,8.05,8.05,8.05,8.05,57272,46103960.0,8.05
2026-01-19 09:31:00,8.2,8.35,8.45,8.2,85883,71240747.0,8.197
2026-01-19 09:32:00,8.38,8.4,8.49,8.33,87464,73325199.0,8.268
2026-01-19 09:33:00,8.41,8.44,8.44,8.33,46329,38881604.0,8.289
2026-01-19 09:34:00,8.42,8.52,8.53,8.42,48993,41573822.0,8.318
2026-01-19 09:35:00,8.52,8.63,8.69,8.48,79410,68076521.0,8.368
2026-01-19 09:36:00,8.66,8.64,8.73,8.64,66005,57211597.0,8.41
2026-01-19 09:37:00,8.61,8.62,8.63,8.56,42463,36511960.0,8.426
2026-01-19 09:38:00,8.62,8.54,8.62,8.54,27377,23503616.0,8.434
2026-01-19 09:39:00,8.54,8.6,8.6,8.51,27265,23271194.0,8.439
2026-01-19 09:40:00,8.6,8.56,8.62,8.55,20236,17368373.0,8.444
2026-01-19 09:41:00,8.57,8.69,8.69,8.57,36275,31320870.0,8.455
2026-01-19 09:42:00,8.7,8.67,8.7,8.6,47356,40990324.0,8.469
2026-01-19 09:43:00,8.67,8.67,8.68,8.66,17967,15572327.0,8.474
2026-01-19 09:44:00,8.66,8.69,8.69,8.63,32723,28355648.0,8.483
2026-01-19 09:45:00,8.69,8.72,8.72,8.68,25878,22497317.0,8.49
2026-01-19 09:46:00,8.72,8.59,8.72,8.56,26538,22896968.0,8.495
2026-01-19 09:47:00,8.6,8.54,8.6,8.54,20086,17211381.0,8.497
2026-01-19 09:48:00,8.55,8.59,8.61,8.55,12956,11107436.0,8.498
2026-01-19 09:49:00,8.58,8.62,8.64,8.56,13799,11878815.0,8.5
2026-01-19 09:50:00,8.6,8.6,8.63,8.6,11205,9649861.0,8.501
2026-01-19 09:51:00,8.57,8.64,8.65,8.57,13596,11722169.0,8.503
2026-01-19 09:52:00,8.63,8.62,8.63,8.61,7287,6281681.0,8.504
2026-01-19 09:53:00,8.62,8.61,8.62,8.59,9760,8396447.0,8.505
2026-01-19 09:54:00,8.6,8.69,8.69,8.6,22052,19072367.0,8.509
2026-01-19 09:55:00,8.68,8.68,8.69,8.64,12035,10425086.0,8.511
2026-01-19 09:56:00,8.68,8.73,8.73,8.67,15328,13341845.0,8.514
2026-01-19 09:57:00,8.73,8.79,8.79,8.73,18596,16292036.0,8.519
2026-01-19 09:58:00,8.77,8.87,8.88,8.77,27729,24473335.0,8.528
2026-01-19 09:59:00,8.87,8.89,8.95,8.87,38745,34493454.0,8.542
2026-01-19 10:00:00,8.9,8.9,8.98,8.89,27846,24875663.0,8.553
2026-01-19 10:01:00,8.89,8.8,8.9,8.8,21351,18882301.0,8.559
2026-01-19 10:02:00,8.8,8.85,8.85,8.8,10195,9001421.0,8.562
2026-01-19 10:03:00,8.86,8.86,8.9,8.85,11512,10214625.0,8.565
2026-01-19 10:04:00,8.86,8.81,8.87,8.81,8170,7224143.0,8.567
2026-01-19 10:05:00,8.8,8.73,8.8,8.69,21990,19235369.0,8.571
2026-01-19 10:06:00,8.71,8.75,8.75,8.71,7515,6564388.0,8.572
2026-01-19 10:07:00,8.75,8.78,8.78,8.75,6140,5383207.0,8.573
2026-01-19 10:08:00,8.78,8.76,8.79,8.76,7098,6227970.0,8.574
2026-01-19 10:09:00,8.75,8.75,8.76,8.73,9803,8571144.0,8.576
2026-01-19 10:10:00,8.74,8.77,8.77,8.74,4954,4333883.0,8.576
2026-01-19 10:11:00,8.77,8.74,8.77,8.73,8902,7787413.0,8.578
2026-01-19 10:12:00,8.74,8.67,8.74,8.66,12613,10971060.0,8.579
2026-01-19 10:13:00,8.66,8.66,8.67,8.64,10500,9081352.0,8.58
2026-01-19 10:14:00,8.65,8.71,8.71,8.65,4203,3653825.0,8.58
2026-01-19 10:15:00,8.71,8.73,8.74,8.71,2916,2544365.0,8.58
2026-01-19 10:16:00,8.72,8.7,8.74,8.7,4605,4012287.0,8.581
2026-01-19 10:17:00,8.69,8.67,8.69,8.67,4281,3714454.0,8.581
2026-01-19 10:18:00,8.67,8.66,8.68,8.66,5625,4877027.0,8.582
2026-01-19 10:19:00,8.66,8.64,8.66,8.62,8371,7229254.0,8.582
2026-01-19 10:20:00,8.64,8.64,8.64,8.63,4234,3655298.0,8.582
2026-01-19 10:21:00,8.64,8.65,8.66,8.64,3287,2841015.0,8.582
2026-01-19 10:22:00,8.65,8.66,8.66,8.64,5514,4769029.0,8.583
2026-01-19 10:23:00,8.66,8.7,8.7,8.66,3736,3239885.0,8.583
2026-01-19 10:24:00,8.7,8.73,8.73,8.7,4740,4131973.0,8.583
2026-01-19 10:25:00,8.73,8.7,8.75,8.7,5038,4394974.0,8.584
