时间,开盘,收盘,最高,最低,成交量,成交额,均价
2026-01-16 09:30:00,0.0,32.09,32.09,32.09,30022,96340598.0,32.09
2026-01-16 09:31:00,0.0,33.03,33.25,32.08,64170,209713541.0,32.493
2026-01-16 09:32:00,0.0,32.25,33.29,32.2,42289,138947015.0,32.606
2026-01-16 09:33:00,0.0,33.09,33.09,32.28,32042,105120600.0,32.644
2026-01-16 09:34:00,0.0,33.09,33.66,33.09,38135,127296375.0,32.78
2026-01-16 09:35:00,0.0,32.3,33.12,32.3,15005,49129100.0,32.777
2026-01-16 09:36:00,0.0,32.78,32.81,32.31,22110,72141075.0,32.764
2026-01-16 09:37:00,0.0,32.1,32.76,32.1,22717,73337556.0,32.723
2026-01-16 09:38:00,0.0,32.49,32.49,32.1,13390,43044505.0,32.695
2026-01-16 09:39:00,0.0,32.88,32.88,32.53,6815,22241132.0,32.694
2026-01-16 09:40:00,0.0,33.59,33.59,32.89,10048,33381121.0,32.712
2026-01-16 09:41:00,0.0,32.99,33.66,32.9,20223,67309683.0,32.748
2026-01-16 09:42:00,0.0,33.21,33.23,32.99,9644,31954363.0,32.76
2026-01-16 09:43:00,0.0,32.9,33.23,32.9,11156,36968825.0,32.772
2026-01-16 09:44:00,0.0,32.5,32.9,32.5,8292,27172904.0,32.772
2026-01-16 09:45:00,0.0,33.0,33.0,32.43,8779,28626628.0,32.768
2026-01-16 09:46:00,0.0,32.91,33.02,32.9,8388,27656361.0,32.773
2026-01-16 09:47:00,0.0,33.33,33.33,32.9,8560,28313867.0,32.78
2026-01-16 09:48:00,0.0,33.66,33.66,33.37,8769,29391974.0,32.797
2026-01-16 09:49:00,0.0,34.66,34.73,33.66,13695,46919931.0,32.848
2026-01-16 09:50:00,0.0,33.99,34.78,33.88,14926,51250303.0,32.902
2026-01-16 09:51:00,0.0,34.78,34.78,33.99,7702,26481016.0,32.929
2026-01-16 09:52:00,0.0,34.36,34.83,34.19,13196,45566730.0,32.979
2026-01-16 09:53:00,0.0,34.1,34.38,34.1,7217,24736868.0,33.0
2026-01-16 09:54:00,0.0,34.23,34.23,34.07,4554,15547715.0,33.012
2026-01-16 09:55:00,0.0,33.97,34.28,33.97,4515,15440500.0,33.024
2026-01-16 09:56:00,0.0,33.08,33.96,33.06,8149,27171291.0,33.029
2026-01-16 09:57:00,0.0,33.64,33.8,33.06,5617,18844778.0,33.036
2026-01-16 09:58:00,0.0,33.22,33.63,33.11,4819,16047981.0,33.038
2026-01-16 09:59:00,0.0,33.64,33.64,33.26,5648,18917085.0,33.044
2026-01-16 10:00:00,0.0,33.23,33.68,33.23,6243,20946416.0,33.051
2026-01-16 10:01:00,0.0,33.44,33.48,33.22,4206,14029398.0,33.053
2026-01-16 10:02:00,0.0,33.28,33.48,33.28,4258,14213030.0,33.056
2026-01-16 10:03:00,0.0,33.05,33.24,33.03,4043,13404576.0,33.057
2026-01-16 10:04:00,0.0,33.06,33.11,33.05,5793,19148943.0,33.057
2026-01-16 10:05:00,0.0,32.86,33.02,32.6,7902,25916280.0,33.053
2026-01-16 10:06:00,0.0,33.01,33.02,32.67,4394,14433315.0,33.051
2026-01-16 10:07:00,0.0,33.5,33.5,33.05,2976,9897514.0,33.052
2026-01-16 10:08:00,0.0,33.19,33.56,33.19,4781,15952733.0,33.055
2026-01-16 10:09:00,0.0,33.19,33.23,33.13,3353,11123676.0,33.056
2026-01-16 10:10:00,0.0,33.19,33.25,33.19,2006,6660963.0,33.057
2026-01-16 10:11:00,0.0,33.1,33.19,33.1,1620,5370005.0,33.057
2026-01-16 10:12:00,0.0,32.8,33.1,32.8,2130,7019031.0,33.056
2026-01-16 10:13:00,0.0,32.51,32.78,32.51,4143,13509818.0,33.053
2026-01-16 10:14:00,0.0,33.0,33.0,32.53,5505,18027183.0,33.05
2026-01-16 10:15:00,0.0,32.72,33.0,32.72,1483,4876276.0,33.049
2026-01-16 10:16:00,0.0,32.71,32.71,32.63,2432,7945893.0,33.048
2026-01-16 10:17:00,0.0,33.02,33.02,32.71,2727,8969961.0,33.047
2026-01-16 10:18:00,0.0,33.2,33.2,33.0,2230,7381827.0,33.047
2026-01-16 10:19:00,0.0,33.16,33.24,33.15,2350,7802005.0,33.048
2026-01-16 10:20:00,0.0,33.16,33.19,33.15,1589,5269300.0,33.048
2026-01-16 10:21:00,0.0,33.14,33.17,33.09,1830,6066649.0,33.048
2026-01-16 10:22:00,0.0,32.99,33.14,32.98,1956,6462513.0,33.048
2026-01-16 10:23:00,0.0,32.88,33.0,32.88,1703,5614994.0,33.048
2026-01-16 10:24:00,0.0,32.76,32.88,32.72,1924,6307273.0,33.047
2026-01-16 10:25:00,0.0,32.71,32.74,32.7,1555,5087050.0,33.046
2026-01-16 10:26:00,0.0,32.55,32.72,32.55,3019,9855353.0,33.044
2026-01-16 10:27:00,0.0,32.8,32.8,32.52,2862,9332385.0,33.042
2026-01-16 10:28:00,0.0,33.05,33.05,32.79,1084,3572771.0,33.042
2026-01-16 10:29:00,0.0,33.3,33.3,33.05,2956,9806287.0,33.042
2026-01-16 10:30:00,0.0,33.53,33.53,33.29,3770,12587451.0,33.045
2026-01-16 10:31:00,0.0,33.77,33.77,33.53,2675,8994860.0,33.047
2026-01-16 10:32:00,0.0,33.98,33.98,33.78,3415,11582264.0,33.053
2026-01-16 10:33:00,0.0,33.99,34.01,33.98,4319,14682254.0,33.06
2026-01-16 10:34:00,0.0,33.65,34.0,33.65,2666,9031721.0,33.063
