时间,开盘,收盘,最高,最低,成交量,成交额,均价
2025-12-16 09:30:00,0.0,3.73,3.73,3.73,77509,28910857.0,3.73
2025-12-16 09:31:00,0.0,3.72,3.75,3.66,242840,90341188.0,3.723
2025-12-16 09:32:00,0.0,3.76,3.78,3.7,113865,42489772.0,3.725
2025-12-16 09:33:00,0.0,3.74,3.76,3.73,114180,42801991.0,3.73
2025-12-16 09:34:00,0.0,3.77,3.78,3.74,120730,45426267.0,3.736
2025-12-16 09:35:00,0.0,3.78,3.78,3.75,103616,38990366.0,3.739
2025-12-16 09:36:00,0.0,3.78,3.79,3.76,112912,42646385.0,3.744
2025-12-16 09:37:00,0.0,3.81,3.81,3.78,113112,42886437.0,3.75
2025-12-16 09:38:00,0.0,3.8,3.81,3.78,111578,42391492.0,3.755
2025-12-16 09:39:00,0.0,3.79,3.81,3.78,54237,20591712.0,3.757
2025-12-16 09:40:00,0.0,3.79,3.8,3.78,60768,23032440.0,3.758
2025-12-16 09:41:00,0.0,3.79,3.8,3.79,49621,18840574.0,3.76
2025-12-16 09:42:00,0.0,3.84,3.84,3.79,95656,36497061.0,3.764
2025-12-16 09:43:00,0.0,3.85,3.86,3.82,127948,49061128.0,3.77
2025-12-16 09:44:00,0.0,3.81,3.84,3.81,72681,27796801.0,3.772
2025-12-16 09:45:00,0.0,3.81,3.84,3.81,51988,19886904.0,3.774
2025-12-16 09:46:00,0.0,3.79,3.82,3.79,58832,22379256.0,3.775
2025-12-16 09:47:00,0.0,3.79,3.8,3.79,46296,17565757.0,3.775
2025-12-16 09:48:00,0.0,3.78,3.79,3.77,33094,12521659.0,3.776
2025-12-16 09:49:00,0.0,3.77,3.78,3.75,44462,16747526.0,3.775
2025-12-16 09:50:00,0.0,3.8,3.8,3.77,39732,15052767.0,3.776
2025-12-16 09:51:00,0.0,3.81,3.82,3.8,33002,12563121.0,3.776
2025-12-16 09:52:00,0.0,3.83,3.84,3.81,40544,15522169.0,3.777
2025-12-16 09:53:00,0.0,3.83,3.84,3.82,42034,16094316.0,3.778
2025-12-16 09:54:00,0.0,3.83,3.84,3.82,31850,12195218.0,3.779
2025-12-16 09:55:00,0.0,3.85,3.85,3.83,53927,20723894.0,3.781
2025-12-16 09:56:00,0.0,3.85,3.86,3.85,53516,20596505.0,3.783
2025-12-16 09:57:00,0.0,3.87,3.88,3.85,55171,21305236.0,3.785
2025-12-16 09:58:00,0.0,3.89,3.91,3.88,132449,51518391.0,3.791
2025-12-16 09:59:00,0.0,3.87,3.89,3.86,56830,22007918.0,3.793
2025-12-16 10:00:00,0.0,3.85,3.86,3.85,44012,16972772.0,3.794
2025-12-16 10:01:00,0.0,3.83,3.85,3.82,24563,9419952.0,3.794
2025-12-16 10:02:00,0.0,3.83,3.84,3.82,21129,8090521.0,3.795
2025-12-16 10:03:00,0.0,3.85,3.86,3.83,43268,16663188.0,3.796
2025-12-16 10:04:00,0.0,3.88,3.88,3.85,23075,8907118.0,3.796
2025-12-16 10:05:00,0.0,3.85,3.88,3.85,29361,11344694.0,3.797
2025-12-16 10:06:00,0.0,3.86,3.87,3.85,21904,8451977.0,3.798
2025-12-16 10:07:00,0.0,3.86,3.87,3.86,20302,7836277.0,3.798
2025-12-16 10:08:00,0.0,3.87,3.87,3.86,25321,9791363.0,3.799
2025-12-16 10:09:00,0.0,3.86,3.88,3.86,29765,11515482.0,3.8
2025-12-16 10:10:00,0.0,3.85,3.87,3.85,22044,8505438.0,3.8
2025-12-16 10:11:00,0.0,3.84,3.86,3.84,25680,9887938.0,3.8
2025-12-16 10:12:00,0.0,3.85,3.85,3.83,20108,7723018.0,3.801
2025-12-16 10:13:00,0.0,3.89,3.89,3.85,58926,22805669.0,3.802
2025-12-16 10:14:00,0.0,3.9,3.9,3.88,36388,14165376.0,3.803
2025-12-16 10:15:00,0.0,3.9,3.9,3.89,45755,17832514.0,3.805
2025-12-16 10:16:00,0.0,3.89,3.9,3.88,32843,12786974.0,3.806
2025-12-16 10:17:00,0.0,3.89,3.9,3.88,18377,7149341.0,3.807
2025-12-16 10:18:00,0.0,3.9,3.9,3.89,24114,9397306.0,3.807
2025-12-16 10:19:00,0.0,3.92,3.93,3.89,50281,19648806.0,3.809
2025-12-16 10:20:00,0.0,3.95,3.96,3.92,79427,31267890.0,3.812
2025-12-16 10:21:00,0.0,3.96,3.97,3.95,68307,27002488.0,3.815
2025-12-16 10:22:00,0.0,3.95,3.96,3.93,42987,16981875.0,3.817
2025-12-16 10:23:00,0.0,3.95,3.96,3.95,31273,12348591.0,3.819
2025-12-16 10:24:00,0.0,3.93,3.95,3.92,25403,10006941.0,3.82
2025-12-16 10:25:00,0.0,3.92,3.94,3.92,15254,5997649.0,3.82
2025-12-16 10:26:00,0.0,3.95,3.95,3.92,23002,9055942.0,3.821
2025-12-16 10:27:00,0.0,3.94,3.95,3.94,13780,5426632.0,3.821
2025-12-16 10:28:00,0.0,3.94,3.95,3.93,17729,6983404.0,3.822
2025-12-16 10:29:00,0.0,3.96,3.96,3.94,25679,10143246.0,3.823
2025-12-16 10:30:00,0.0,3.95,3.96,3.95,19091,7557574.0,3.824
2025-12-16 10:31:00,0.0,3.93,3.95,3.93,33195,13093373.0,3.825
2025-12-16 10:32:00,0.0,3.93,3.93,3.92,9699,3809617.0,3.825
2025-12-16 10:33:00,0.0,3.91,3.93,3.91,20388,7990038.0,3.826
2025-12-16 10:34:00,0.0,3.9,3.92,3.9,22990,8982681.0,3.826
2025-12-16 10:35:00,0.0,3.88,3.9,3.88,23180,9029260.0,3.827
2025-12-16 10:36:00,0.0,3.91,3.91,3.88,36442,14193131.0,3.828
2025-12-16 10:37:00,0.0,3.93,3.93,3.91,9912,3882339.0,3.828
2025-12-16 10:38:00,0.0,3.91,3.93,3.91,10423,4085567.0,3.828
2025-12-16 10:39:00,0.0,3.91,3.92,3.91,19081,7465561.0,3.829
2025-12-16 10:40:00,0.0,3.9,3.91,3.9,8085,3159618.0,3.829
2025-12-16 10:41:00,0.0,3.91,3.91,3.9,7610,2968817.0,3.829
2025-12-16 10:42:00,0.0,3.9,3.9,3.89,13592,5300909.0,3.829
